preguntas,respuestas
Hola,"Bienvenido a Chadbot, un chatbot que responde preguntas sobre Python. ¿En qué te puedo asistir hoy?"
Chau,"¡Chau! Nos vemos la próxima, espero haberte ayudado."
¿Cuáles son los requisitos para inscribirme a una materia?,"Debés haber aprobado las correlativas necesarias, podés consultar el plan de estudios en el SIU."
¿Dónde puedo ver el calendario académico?,El calendario académico está disponible en la página oficial de UADE o en el campus virtual.
¿Cómo solicito un certificado de alumno regular?,Podés solicitarlo desde el portal de autogestión en la sección de Trámites.
¿Cuándo comienzan las clases del segundo cuatrimestre?,La fecha exacta figura en el calendario académico del año en curso.
¿Dónde puedo consultar mis notas?,"Tus notas están disponibles en el sistema de autogestión, ingresando con tu usuario."
¿Cómo me contacto con Bedelía?,Podés escribir a bedelia@uade.edu.ar o comunicarte por teléfono al número de tu sede.
¿Puedo cursar dos materias correlativas al mismo tiempo?,"Solo si la universidad lo permite como correlativa condicional, revisá las reglas específicas de tu carrera."
¿Cómo recupero mi contraseña del campus virtual?,Podés usar la opción 'Olvidé mi contraseña' en la página de acceso.
¿Dónde se rinde el final de Matemática I?,La sede y aula se publican unos días antes del examen en el sistema.
¿Qué pasa si llego tarde a un parcial?,"Depende del docente, pero generalmente no se permite el ingreso pasado cierto tiempo."
¿Cómo me inscribo a un final?,Debés hacerlo desde el sistema de autogestión dentro del período habilitado.
¿Puedo rendir un final sin cursar la materia?,"No, primero debés cursarla y aprobarla."
¿Cuántos finales puedo rendir en una misma semana?,Podés rendir varios siempre que no se superpongan en días y horarios.
¿Qué sucede si no me presento a un final?,"Se considera ausente, pero no afecta tu promedio."
¿Dónde veo la fecha y aula de mi final?,"En el sistema de autogestión o en el campus virtual, en la sección de exámenes."
¿Puedo pedir revisión de un final?,"Sí, coordinando con el docente a cargo o la cátedra."
¿Cuánto tiempo tengo para rendir un final después de cursar?,"El plazo varía según la materia, pero suele ser de hasta dos años."
¿Hay recuperatorios para finales?,"No, solo para parciales en la mayoría de las materias."
¿Qué debo llevar a un final?,"Documento de identidad, útil de escritura, y cualquier material autorizado."
¿Los finales son presenciales o virtuales?,"Depende de la modalidad de la materia, revisalo con la facultad o en el campus."
¿Cómo me inscribo a las materias?,Desde el sistema de autogestión en la sección 'Inscripción a materias'.
¿Qué pasa si no consigo cupo?,Podés intentar en la siguiente ronda o pedir excepción en tu facultad.
¿Puedo cambiar de comisión una vez inscripto?,"Sí, pero solo en fechas específicas y si hay cupo disponible."
¿Cuántas materias puedo cursar por cuatrimestre?,Depende de tu plan de estudios y las correlativas que tengas aprobadas.
¿Qué son las materias electivas?,Son materias opcionales que podés elegir para completar tu plan de estudios.
¿Cómo sé si una materia tiene práctica o laboratorio?,En la descripción de la materia dentro del plan de estudios o en el sistema.
¿Puedo inscribirme fuera de término?,Solo con autorización y justificación válida.
¿Puedo cursar en otra sede?,"Sí, si hay disponibilidad. Consultalo con tu facultad."
¿Qué pasa si me inscribo y luego no curso?,"No se genera sanción, pero es recomendable darse de baja."
¿Qué son las materias cuatrimestrales e intensivas?,"Las cuatrimestrales duran medio año, las intensivas duran menos semanas pero son más exigentes."
¿Cómo solicito el título una vez recibido?,"Desde el portal de autogestión, completando el trámite de egreso."
¿Dónde pido un certificado analítico?,Desde autogestión o presencialmente en Bedelía.
¿Cómo hago una equivalencia con otra universidad?,Tenés que presentar el programa y la nota en Mesa de Entradas.
¿Dónde legalizo un certificado?,Podés hacerlo a través de Bedelía o del área de títulos.
¿Cómo hago un reclamo administrativo?,Completando el formulario correspondiente en el portal.
¿Cómo cambio mis datos personales?,Desde el portal de autogestión o presentando documentación en Bedelía.
¿Dónde consigo mi libreta universitaria?,"Ya no se entrega en formato físico, todo se gestiona online."
